activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,binary,47,3,0.3550684452056885,26.52113151550293,0,38743,0.20636068018491804,0.0503998496844572,1224068.4743050358,2162495.825331657
individual,specialist,binary,47,3,0.3550684452056885,26.52113151550293,1,35301,0.1456775355163493,0.06843766553497753,1339715.5009773094,2462461.340589423
individual,specialist,binary,47,3,0.3550684452056885,26.52113151550293,2,67632,0.15005327943135371,0.025565044423416675,1687412.4884669979,2366346.68613357
individual,specialist,binary,47,5,0.622638463973999,23.41151785850525,0,15118,0.3438424780031623,0.09323510916224712,1027568.2272787406,1962940.014734536
individual,specialist,binary,47,5,0.622638463973999,23.41151785850525,1,36201,0.21077810876206404,0.036034912814671374,1498854.3067871053,2430468.878663665
individual,specialist,binary,47,5,0.622638463973999,23.41151785850525,2,24892,0.15536824859893472,0.05047521013941334,1105085.8235577696,2268322.2833138825
individual,specialist,binary,47,5,0.622638463973999,23.41151785850525,3,39794,0.10182776391246483,0.04802789761226248,1854649.9613006986,2156819.598718845
individual,specialist,binary,47,5,0.622638463973999,23.41151785850525,4,25671,0.16106910154065962,0.05262069854729397,1469904.7610143742,2667122.814274454
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,0,35205,0.03193205692597313,0.08953616922679622,2118719.4853003835,2765838.4100281023
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,1,11988,0.3613877719148392,0.1176395553284833,1005540.1851851852,1122438.7998315308
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,2,25491,0.15174893724834618,0.0942188962311814,1654456.4316817701,2771783.5681334278
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,3,15900,0.06311942491528688,0.039770808443964634,1239452.6301886793,2527132.561705804
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,4,11300,0.3229813327430781,0.1826907998232687,1236044.596460177,1907449.3065561631
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,5,10482,0.3533314968920364,0.19316040559557432,949188.7120778477,832026.5224867776
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,6,9431,0.2965068164389545,0.10339286688117395,1502429.1125013253,2539133.3047079854
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,7,6265,0.5469490215037581,0.18428339262382532,978127.0774142059,1900336.2512983729
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,8,10722,0.10523033075732068,0.04685526993260882,1090125.187465025,1859332.8329427268
individual,specialist,binary,47,10,0.8156781196594238,22.240331888198853,9,4892,0.694699975567109,0.1930997423538403,902102.3916598528,672854.303552745
individual,specialist,tf,47,3,0.559669017791748,25.279438018798828,0,61316,0.4470699940190159,0.09517458969780543,941390.1627633896,1683203.6829349443
individual,specialist,tf,47,3,0.559669017791748,25.279438018798828,1,59978,-0.10327421865305288,0.097364439117052,1614242.0457501083,2412729.986276121
individual,specialist,tf,47,3,0.559669017791748,25.279438018798828,2,20382,-0.12466648407379559,0.09917376801313926,2664074.8984398,3208158.5260931375
individual,specialist,tf,47,5,1.1052799224853516,28.432449102401733,0,45733,-0.10498318300058496,0.09798113941688172,1761841.7567183434,2712515.0461018025
individual,specialist,tf,47,5,1.1052799224853516,28.432449102401733,1,60224,0.43748338915393065,0.11314033394553236,923095.9630712009,1626990.764748007
individual,specialist,tf,47,5,1.1052799224853516,28.432449102401733,2,14526,-0.1330653268196727,0.0973929660080868,3020282.8831061544,3649394.590193879
individual,specialist,tf,47,5,1.1052799224853516,28.432449102401733,3,9902,0.3148870327601049,0.13383529473290043,1415850.3029690972,1616897.2751708978
individual,specialist,tf,47,5,1.1052799224853516,28.432449102401733,4,11291,0.3474604234327973,0.1310225488529822,1309117.3518731734,825636.6312653921
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,0,4890,0.3779048431612013,0.12806581251161536,1656667.1165644173,1899135.436964917
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,1,51918,0.35592142151391726,0.13556651978183484,859886.6127354675,1482177.1180955817
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,2,7445,0.2793626825430836,0.1322375632993072,1562490.124916051,2530017.434612232
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,3,9310,0.40662763603417773,0.12323271589232453,1085417.200859291,782182.7099555898
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,4,8821,-0.1458194626256272,0.10113994496865232,3047225.427956014,3475994.3024174087
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,5,11213,0.2934747829532328,0.14767109278291402,1316333.145456167,1574762.9543880625
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,6,9477,0.29965779891701494,0.1253017069418162,2105314.6818613485,3011915.982191078
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,7,29386,-0.11251249306213387,0.1047505239841341,1950305.6925066358,3082482.278866747
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,8,5409,0.29824844889819635,0.13435361363553674,1651057.127010538,2663595.1177163897
individual,specialist,tf,47,10,1.5410053730010986,24.881291151046753,9,3807,0.21146731510859562,0.18310584659028678,1713647.8486997637,883723.2876213922
individual,specialist,tfidf,47,3,0.2689979076385498,23.389145135879517,0,112168,0.05417177899664721,0.04476092579840029,1480160.4052849298,2320699.41562778
individual,specialist,tfidf,47,3,0.2689979076385498,23.389145135879517,1,15793,0.7617951188824632,0.13535426967083722,1069679.5327043626,1988211.3638957057
individual,specialist,tfidf,47,3,0.2689979076385498,23.389145135879517,2,13715,0.7122558717065921,0.15418484674496513,1889929.421800948,2813916.0716665164
individual,specialist,tfidf,47,5,0.48334836959838867,27.8699209690094,0,18653,0.7889998645064291,0.10008513499267672,1043340.8942261299,829391.3454950486
individual,specialist,tfidf,47,5,0.48334836959838867,27.8699209690094,1,13689,0.7133517512480799,0.15375863367397305,1890665.4788516327,2816535.0497735175
individual,specialist,tfidf,47,5,0.48334836959838867,27.8699209690094,2,86113,0.05092314827275367,0.04625703993828174,1620220.9248313264,2593870.2879897812
individual,specialist,tfidf,47,5,0.48334836959838867,27.8699209690094,3,7432,0.8006297983764092,0.11606610451416209,953242.0479009688,784820.3676216156
individual,specialist,tfidf,47,5,0.48334836959838867,27.8699209690094,4,15789,0.7613301307255208,0.13733718348238727,1069803.431502945,1988447.9703130561
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,0,18651,0.788798681143368,0.10061841260711278,1042868.2451343092,828751.4458209851
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,1,13680,0.712539746329392,0.1561412380622732,1889691.2675438595,2816764.062816586
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,2,50849,0.09457882095262808,0.09577498760203128,1826208.8174792032,2924000.423956359
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,3,7377,0.8022116040505854,0.1175094066843083,950955.1362342415,786858.6478539763
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,4,7434,0.829281576516676,0.09794781336830127,1376446.9087974173,1687629.4608626568
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,5,6630,0.8168657942444525,0.10589392503675302,1372964.9049773756,2471493.5812773136
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,6,15793,0.7603696514583539,0.13866152687467334,1069520.3938453745,1988251.6332371985
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,7,7797,0.7468125078931396,0.1351294122481734,1544939.5459792227,2646684.381758928
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,8,7808,0.7644255560321672,0.137475385791549,1332112.5076844261,1544552.2027094108
individual,specialist,tfidf,47,10,0.890866756439209,23.282965421676636,9,5657,0.8098820542766445,0.11667011074257501,882028.5522361676,732618.9296904485
