activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,binary,47,3,0.3944981098175049,29.20902156829834,0,35301,0.1456775355163493,0.06843766553497753,1339715.5009773094,2462461.340589423
individual,specialist,binary,47,3,0.3944981098175049,29.20902156829834,1,38743,0.20636068018491804,0.0503998496844572,1224068.4743050358,2162495.825331657
individual,specialist,binary,47,3,0.3944981098175049,29.20902156829834,2,67632,0.15005327943135371,0.025565044423416675,1687412.4884669979,2366346.68613357
individual,specialist,binary,47,5,0.6029038429260254,25.903966426849365,0,35515,0.10644014000743318,0.06052694701583898,1253769.5706039702,2139488.3403033316
individual,specialist,binary,47,5,0.6029038429260254,25.903966426849365,1,26270,0.14237633570588365,0.07063057496071026,1449585.3026265702,2641463.1936467686
individual,specialist,binary,47,5,0.6029038429260254,25.903966426849365,2,36201,0.19597981585016333,0.03398499804777748,1498854.3067871053,2430468.878663665
individual,specialist,binary,47,5,0.6029038429260254,25.903966426849365,3,15290,0.3522790729974908,0.095476960815373,1029612.521909745,1953402.2957798645
individual,specialist,binary,47,5,0.6029038429260254,25.903966426849365,4,28400,0.18599845085768504,0.056638001237781684,1979909.5352112676,2298136.0846731393
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,0,28349,0.09987802835253483,0.07111493475224188,1865555.1737274684,2251843.3137164996
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,1,27525,0.16612394544810538,0.08228039617166728,1596067.4659400545,2635119.410248452
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,2,14112,0.14205208268544692,0.08601381346708804,1298436.024659864,2672443.911694821
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,3,7834,0.5109292899036626,0.22145901190207598,1062211.5853969874,1988778.8230572152
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,4,18943,0.3146677811376322,0.06916446838308428,1052424.3192736104,841496.3995394594
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,5,17044,0.07532703093280725,0.04850242789708452,1572467.277634358,2864995.492050547
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,6,3871,0.13857368268241,0.08508096926056094,846143.5288039267,1111864.937997677
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,7,13921,0.23578745719241342,0.08253263165576022,1880136.7904604555,2814354.4625889426
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,8,6911,0.5413265637755962,0.21554535403192773,951499.5601215453,1925296.8080814462
individual,specialist,binary,47,10,0.9079596996307373,30.908203601837158,9,3166,0.5270179587525844,0.13275662548484962,826077.8205938092,868248.562413149
individual,specialist,tf,47,3,0.6793069839477539,33.62430024147034,0,59633,-0.10279705318579789,0.09661157439724052,1615908.9866349169,2420098.7016010443
individual,specialist,tf,47,3,0.6793069839477539,33.62430024147034,1,61239,0.4457903547199058,0.09513267096792338,940434.3349826091,1682811.0571615912
individual,specialist,tf,47,3,0.6793069839477539,33.62430024147034,2,20804,-0.12561994769935497,0.09900130032221147,2638324.5712363007,3181392.86884122
individual,specialist,tf,47,5,1.207916498184204,28.751225471496582,0,45733,-0.10498318300058496,0.09798113941688172,1761841.7567183434,2712515.0461018025
individual,specialist,tf,47,5,1.207916498184204,28.751225471496582,1,60224,0.43748338915393065,0.11314033394553236,923095.9630712009,1626990.764748007
