activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,binary,47,3,0.3815593719482422,29.532578468322754,0,35301,0.1456775355163493,0.06843766553497753,1339715.5009773094,2462461.340589423
individual,specialist,binary,47,3,0.3815593719482422,29.532578468322754,1,38743,0.20636068018491804,0.0503998496844572,1224068.4743050358,2162495.825331657
individual,specialist,binary,47,3,0.3815593719482422,29.532578468322754,2,67632,0.15005327943135371,0.025565044423416675,1687412.4884669979,2366346.68613357
individual,specialist,binary,47,5,0.6627984046936035,36.39794135093689,0,40244,0.10812143363975749,0.03825292171513468,1835755.8165192327,2142287.161195584
individual,specialist,binary,47,5,0.6627984046936035,36.39794135093689,1,30976,0.15636527130763023,0.04663268523978968,1394080.6689049588,2576099.70066476
individual,specialist,binary,47,5,0.6627984046936035,36.39794135093689,2,4325,0.2177802131271278,0.05311582933222207,950347.7687861272,1338158.064119736
individual,specialist,binary,47,5,0.6627984046936035,36.39794135093689,3,39232,0.18258441550957272,0.03489099973540483,1475674.2103384992,2392339.7224667906
individual,specialist,binary,47,5,0.6627984046936035,36.39794135093689,4,26899,0.21080613330342715,0.04011755734486128,1106931.8048998103,2339874.7159815216
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,0,26699,0.18159314230698906,0.038799671426996814,1601583.7169931459,2649817.3990556183
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,1,14057,0.10869764134005046,0.04180707657413975,1034381.4967631785,1714410.26686127
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,2,13574,0.12904595353264445,0.07050056269954977,1243866.1927213792,1351911.5060370683
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,3,13147,0.22532131911793615,0.09536279808488772,1728191.126492736,2566438.251014248
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,4,11837,0.41678250705288683,0.0697997223051177,877157.7511193715,1792562.6958154
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,5,16406,0.17140915374181934,0.050689773687530755,1198849.993904669,2507774.443361862
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,6,9176,0.09990837725563263,0.08040520943459568,2207469.899738448,3289224.372350529
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,7,24235,0.17144445663244123,0.0727252856703135,1932146.2108520735,2272242.6562741366
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,8,8590,0.51949130448517,0.10946532309598796,873780.509895227,766867.427568192
individual,specialist,binary,47,10,2.294856548309326,45.60115957260132,9,3955,0.08723249351444991,0.06637028408327382,1844849.3855878634,3389119.290531779
individual,specialist,tf,47,3,0.6130435466766357,36.3777277469635,0,20382,-0.12466648407379559,0.09917376801313926,2664074.8984398,3208158.5260931375
individual,specialist,tf,47,3,0.6130435466766357,36.3777277469635,1,61316,0.4470699940190159,0.09517458969780543,941390.1627633896,1683203.6829349443
individual,specialist,tf,47,3,0.6130435466766357,36.3777277469635,2,59978,-0.10327421865305288,0.097364439117052,1614242.0457501083,2412729.986276121
individual,specialist,tf,47,5,1.3445866107940674,36.197174310684204,0,9902,0.3148870327601049,0.13383529473290043,1415850.3029690972,1616897.2751708978
individual,specialist,tf,47,5,1.3445866107940674,36.197174310684204,1,60224,0.43748338915393065,0.11314033394553236,923095.9630712009,1626990.764748007
individual,specialist,tf,47,5,1.3445866107940674,36.197174310684204,2,14526,-0.1330653268196727,0.0973929660080868,3020282.8831061544,3649394.590193879
individual,specialist,tf,47,5,1.3445866107940674,36.197174310684204,3,11291,0.3474604234327973,0.1310225488529822,1309117.3518731734,825636.6312653921
individual,specialist,tf,47,5,1.3445866107940674,36.197174310684204,4,45733,-0.10498318300058496,0.09798113941688172,1761841.7567183434,2712515.0461018025
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,0,11417,0.29406073721646114,0.12018018068757998,1958207.0929315933,2946205.77452631
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,1,6429,-0.1503370481693108,0.10620860305612369,3173464.059729351,3313477.0445136046
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,2,9635,0.3287926052778335,0.13380990012682972,1386425.6730669434,1609023.894363701
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,3,5773,0.27734993931558616,0.14249148636603698,1429588.3526762514,1427089.9748194164
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,4,48666,-0.0016819156619133301,0.0315518369705885,910562.1082480582,1458100.7986256138
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,5,5303,0.31388856909706636,0.13008194316430371,1652376.5906090892,2689598.7000465672
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,6,4956,0.18258556831688363,0.17453314903102934,1674911.8159806295,2228286.872597323
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,7,10835,0.3710750695620606,0.1257186326527076,1273212.1716658976,800964.4271508707
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,8,27569,-0.10906437711639949,0.11016960144375597,2187367.5040806704,3342040.4020495904
individual,specialist,tf,47,10,2.2897660732269287,34.72699689865112,9,11093,0.5401533121782578,0.1136290391110879,810832.7143243487,1799603.6737489593
individual,specialist,tfidf,47,3,0.40151476860046387,34.27191472053528,0,18653,0.7891950971384848,0.09909808592812058,1043340.8942261299,829391.3454950486
