activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,binary,47,3,0.329998254776001,35.48643469810486,0,43068,0.14927671924451685,0.06609490305418492,1196580.7327946504,2096024.0560418458
individual,specialist,binary,47,3,0.329998254776001,35.48643469810486,1,67632,0.15458660727667572,0.02837607719704878,1687412.4884669979,2366346.68613357
individual,specialist,binary,47,3,0.329998254776001,35.48643469810486,2,30976,0.20912442568917625,0.058322155474780084,1394080.6689049588,2576099.70066476
individual,specialist,binary,47,5,0.6642961502075195,32.02237153053284,0,20404,0.11287695370925517,0.046135436170607946,978534.6598706136,1652852.7706792857
individual,specialist,binary,47,5,0.6642961502075195,32.02237153053284,1,38743,0.1299749151950621,0.05966842663622495,1224068.4743050358,2162495.825331657
individual,specialist,binary,47,5,0.6642961502075195,32.02237153053284,2,37032,0.10424012939286488,0.05277726461519589,2090860.346727155,2714885.0671821265
individual,specialist,binary,47,5,0.6642961502075195,32.02237153053284,3,36201,0.21235933960663467,0.03606068624870287,1498854.3067871053,2430468.878663665
individual,specialist,binary,47,5,0.6642961502075195,32.02237153053284,4,9296,0.44945699113889837,0.1645008909681852,1050085.1979345956,1888763.8643352871
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,0,16274,0.13962385738063296,0.06120843071892417,1231971.0224898611,2661775.109427222
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,1,20279,0.08156525970320222,0.05294555189167216,1458681.4773904039,2653212.5712314034
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,2,27799,0.13934852109980603,0.09567773337868649,1595662.2547573654,2625322.9960998846
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,3,20593,0.17231441689387622,0.059015733941024974,1959100.34186374,2313651.9733706485
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,4,16920,0.2791157225543807,0.09980307694529103,1249891.6737588653,1603749.9576205874
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,5,5148,0.1865664901403893,0.10846002355705121,771021.1188811188,1000770.1665235268
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,6,8745,0.4606339032916298,0.16970419581504248,1019833.7907375643,1897799.1737042272
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,7,7413,0.17970818583752451,0.05702035940904239,1447746.766491299,1570620.9867740406
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,8,5688,0.5765714230181573,0.15556222283091717,873441.3713080168,797336.6034114704
individual,specialist,binary,47,10,1.3979864120483398,32.277206897735596,9,12817,0.22853402250216104,0.09443134169374615,1932830.2348443475,2820713.527735516
individual,specialist,tf,47,3,0.768054723739624,31.363826513290405,0,21325,-0.1253653691815759,0.09911548327449031,2629577.0588511135,3159252.063590534
individual,specialist,tf,47,3,0.768054723739624,31.363826513290405,1,59185,-0.1025692719919673,0.09582778976946373,1609575.6009123933,2421131.3336170428
individual,specialist,tf,47,3,0.768054723739624,31.363826513290405,2,61166,0.44442315526559795,0.09512045721172131,940097.4479285878,1683264.9539096502
individual,specialist,tf,47,5,1.481696367263794,37.71394324302673,0,45733,-0.10498318300058496,0.09798113941688172,1761841.7567183434,2712515.0461018025
individual,specialist,tf,47,5,1.481696367263794,37.71394324302673,1,14526,-0.1330653268196727,0.0973929660080868,3020282.8831061544,3649394.590193879
individual,specialist,tf,47,5,1.481696367263794,37.71394324302673,2,60224,0.43748338915393065,0.11314033394553236,923095.9630712009,1626990.764748007
individual,specialist,tf,47,5,1.481696367263794,37.71394324302673,3,9902,0.3148870327601049,0.13383529473290043,1415850.3029690972,1616897.2751708978
individual,specialist,tf,47,5,1.481696367263794,37.71394324302673,4,11291,0.3474604234327973,0.1310225488529822,1309117.3518731734,825636.6312653921
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,0,32356,0.2144313075217242,0.08241304658455761,813429.6130547657,1362826.4864473336
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,1,11327,0.2888811549250461,0.12569738169454817,1959938.5680233072,2858659.4363021785
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,2,4859,0.2989730290911615,0.12529724547617505,1509383.7085820127,1496556.9223492737
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,3,6038,0.27871829872158116,0.14613520362963145,1565733.3289168598,2568172.6566425273
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,4,8192,0.3264342819769159,0.11939020790844389,1440172.2802734375,1594863.2127069945
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,5,10802,0.3675316674900527,0.1307254761773366,1271124.8453990002,800608.4621279296
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,6,28993,-0.058873261740338696,0.07244304068895742,1252295.9259131514,1921504.1322772694
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,7,19662,-0.1245434979579003,0.08850786660360234,2562759.1516631064,3701917.5403142953
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,8,5615,-0.15292008062505064,0.10533012182563102,3095482.354407836,3216761.8266526964
individual,specialist,tf,47,10,2.1918907165527344,34.17355942726135,9,13832,0.37381600037710105,0.0784708477866641,1006825.8877964141,1986331.8069134713
