activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,binary,47,3,0.39666318893432617,28.767290830612183,0,30976,0.20912442568917625,0.058322155474780084,1394080.6689049588,2576099.70066476
individual,specialist,binary,47,3,0.39666318893432617,28.767290830612183,1,67632,0.15458660727667572,0.02837607719704878,1687412.4884669979,2366346.68613357
individual,specialist,binary,47,3,0.39666318893432617,28.767290830612183,2,43068,0.14927671924451685,0.06609490305418492,1196580.7327946504,2096024.0560418458
individual,specialist,binary,47,5,0.5325729846954346,34.32772517204285,0,47974,0.05206709752125672,0.05169867321618205,1959308.54963105,2528194.3964989507
individual,specialist,binary,47,5,0.5325729846954346,34.32772517204285,1,22048,0.21751927775187035,0.042534093990364216,1140502.9218069667,2369493.543551498
individual,specialist,binary,47,5,0.5325729846954346,34.32772517204285,2,20275,0.14670689105006557,0.06106834589351057,977222.5538840938,1657743.176909263
individual,specialist,binary,47,5,0.5325729846954346,34.32772517204285,3,15178,0.3363723412289343,0.08562765816991992,1029488.3647384372,1960246.3023179655
individual,specialist,binary,47,5,0.5325729846954346,34.32772517204285,4,36201,0.18929888950540324,0.03373703281772303,1498854.3067871053,2430468.878663665
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,0,17846,0.06817600765786751,0.05269530113264089,1713636.9259217752,3130846.0396526647
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,1,22837,0.20509242145149467,0.049603740129961715,1665200.4431405177,2797533.922242895
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,2,6857,0.5444840165986065,0.21609330294331228,955446.8513927374,1934827.5610746772
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,3,30558,0.06769205164530995,0.08555310527688015,1919162.0479088945,2315614.1991725108
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,4,16531,0.07607663486609702,0.08212999124584937,1191519.6672917549,2487831.3268893966
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,5,18965,0.3211190366466912,0.06995761945149588,1053285.0292644345,841380.1290644016
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,6,3914,0.43806395314050023,0.1198630019344627,843092.0388349515,593052.2834706091
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,7,8127,0.3384767928635369,0.12634300862123637,1518606.600221484,2457845.772905926
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,8,7818,0.5120746910396314,0.2209460477746141,1062914.0291634689,1990752.362709852
individual,specialist,binary,47,10,1.4560108184814453,40.54380440711975,9,8223,0.296043777749014,0.10643085627111608,1387505.9029551258,1648370.3422780358
individual,specialist,tf,47,3,0.7919411659240723,30.640082836151123,0,61247,0.4461744840266696,0.09513234135103679,940379.0605254135,1682708.0980735489
individual,specialist,tf,47,3,0.7919411659240723,30.640082836151123,1,20741,-0.12438774440800253,0.09920387218537469,2642287.501084808,3185693.4586517783
individual,specialist,tf,47,3,0.7919411659240723,30.640082836151123,2,59688,-0.10318072576880068,0.09680709351303612,1615758.3071974267,2418836.334760882
individual,specialist,tf,47,5,0.949526309967041,34.306329011917114,0,60115,0.4347830691473372,0.11246333135028509,921322.0826748732,1626171.093218964
individual,specialist,tf,47,5,0.949526309967041,34.306329011917114,1,15373,-0.1336689512466193,0.0971880003980904,3025240.715540233,3672817.6507050316
individual,specialist,tf,47,5,0.949526309967041,34.306329011917114,2,44949,-0.10314668249391461,0.09609759875780376,1736543.2890609356,2673745.756782496
individual,specialist,tf,47,5,0.949526309967041,34.306329011917114,3,9948,0.31030186697237533,0.1347485948296812,1418479.3305186972,1614224.1129051135
individual,specialist,tf,47,5,0.949526309967041,34.306329011917114,4,11291,0.3473706451343489,0.13102551927634995,1309117.3518731734,825636.6312653921
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,0,42123,0.17699038674213316,0.0758391471201142,867222.9955131401,1455106.3858690588
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,1,11464,0.29336601920845573,0.12552423317473335,1907017.991974878,2783699.957236771
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,2,4923,0.3001522933933937,0.13099382253874617,1577248.9092017063,1628335.8354326333
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,3,11291,0.33785651334034833,0.13737734761379664,1309117.3518731734,825636.6312653921
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,4,3598,0.36341083152463866,0.13204519655074345,2374646.0311284047,3484705.759406925
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,5,5431,0.2967892857235939,0.13497121706329882,1655329.9466028356,2658367.5132079166
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,6,11249,0.2912035562410964,0.1489205322434017,1320013.633211841,1572494.2499450834
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,7,13863,0.3863834468904738,0.07483886739302123,1007707.2884657001,1946676.2052814835
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,8,10019,-0.1514427999009915,0.10872178545408386,3207380.9961073957,3693906.423934212
individual,specialist,tf,47,10,2.314485788345337,39.93192410469055,9,27715,-0.10132157991165776,0.10560035040370883,1782963.4226952915,2849761.145563378
individual,specialist,tfidf,47,3,0.7402393817901611,38.44677376747131,0,18663,0.7893822808255911,0.09962918967978857,1043629.4968654558,829262.7878169597
individual,specialist,tfidf,47,3,0.7402393817901611,38.44677376747131,1,44878,0.26402633567268446,0.06413523367877291,1351354.3598199564,2137370.244476415
individual,specialist,tfidf,47,3,0.7402393817901611,38.44677376747131,2,78135,0.04032812317077124,0.02733643577409101,1647368.3363409485,2666949.650370993
