,group
1,1
3,1
6,1
9,1
10,1
16,1
17,1
31,1
32,1
34,1
39,1
43,1
48,1
50,1
52,1
54,1
55,1
73,1
75,1
79,1
80,1
86,1
89,1
98,1
99,1
101,1
105,1
106,1
109,1
115,1
121,1
124,1
128,1
129,1
134,1
141,1
150,1
165,1
169,1
172,1
176,1
185,1
186,1
187,1
188,1
195,1
196,1
197,1
199,1
205,1
206,1
207,1
208,1
210,1
211,1
212,1
215,1
217,1
218,1
222,1
223,1
224,1
225,1
226,1
229,1
230,1
231,1
235,1
238,1
241,1
243,1
245,1
248,1
249,1
250,1
252,1
254,1
256,1
258,1
260,1
261,1
262,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
279,1
280,1
281,1
284,1
285,1
287,1
288,1
289,1
292,1
294,1
297,1
298,1
300,1
304,1
306,1
307,1
312,1
313,1
315,1
316,1
328,1
334,1
335,1
336,1
337,1
338,1
339,1
341,1
342,1
345,1
353,1
365,1
367,1
370,1
371,1
374,1
376,1
377,1
378,1
381,1
385,1
388,1
389,1
393,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
403,1
404,1
406,1
407,1
408,1
411,1
413,1
414,1
417,1
421,1
424,1
425,1
426,1
427,1
430,1
431,1
432,1
433,1
435,1
436,1
437,1
439,1
441,1
444,1
445,1
449,1
451,1
452,1
455,1
458,1
460,1
462,1
466,1
468,1
470,1
472,1
474,1
476,1
478,1
480,1
482,1
483,1
485,1
486,1
487,1
488,1
490,1
492,1
494,1
495,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
510,1
515,1
521,1
523,1
526,1
530,1
532,1
534,1
535,1
537,1
542,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
556,1
558,1
559,1
564,1
565,1
570,1
571,1
572,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
589,1
592,1
595,1
597,1
598,1
600,1
603,1
604,1
606,1
610,1
613,1
618,1
626,1
633,1
634,1
635,1
638,1
640,1
641,1
645,1
646,1
650,1
655,1
656,1
658,1
664,1
668,1
669,1
673,1
677,1
679,1
688,1
690,1
692,1
693,1
697,1
699,1
700,1
702,1
703,1
705,1
706,1
707,1
709,1
711,1
714,1
715,1
716,1
717,1
718,1
721,1
722,1
726,1
728,1
732,1
740,1
741,1
746,1
747,1
749,1
751,1
758,1
759,1
761,1
762,1
766,1
768,1
771,1
773,1
779,1
780,1
784,1
788,1
793,1
794,1
795,1
796,1
802,1
806,1
812,1
815,1
818,1
821,1
825,1
833,1
838,1
840,1
847,1
853,1
856,1
862,1
863,1
867,1
868,1
870,1
879,1
881,1
883,1
884,1
885,1
888,1
895,1
897,1
899,1
901,1
903,1
906,1
907,1
909,1
912,1
914,1
915,1
918,1
920,1
921,1
925,1
926,1
927,1
928,1
930,1
932,1
933,1
934,1
935,1
936,1
938,1
940,1
943,1
948,1
949,1
952,1
953,1
954,1
