,group
2817,0
2823,0
2824,0
2827,0
2831,0
2836,0
2839,0
2842,0
2843,0
2844,0
2847,0
2849,0
2853,0
2854,0
2855,0
2858,0
2864,0
2865,0
2867,0
2875,0
2883,0
2891,0
2915,0
2920,0
2921,0
2924,0
2927,0
2934,0
2935,0
2936,0
2940,0
2941,0
2943,0
2945,0
2947,0
2948,0
2951,0
2955,0
2957,0
2960,0
2961,0
2963,0
2966,0
2969,0
2970,0
2973,0
2978,0
2980,0
2982,0
2985,0
2986,0
2988,0
2991,0
2994,0
2995,0
2996,0
2998,0
3001,0
3004,0
3006,0
3010,0
3011,0
3014,0
3016,0
3019,0
3020,0
3021,0
3023,0
3025,0
3027,0
3028,0
3031,0
3032,0
3035,0
3038,0
3045,0
3047,0
3049,0
3051,0
3052,0
3053,0
3054,0
3057,0
3063,0
3064,0
3067,0
3068,0
3069,0
3070,0
3072,0
3077,0
3082,0
3084,0
3086,0
3104,0
3107,0
3108,0
3109,0
3111,0
3114,0
3115,0
3119,0
3121,0
3125,0
3128,0
3130,0
3134,0
3135,0
3136,0
3138,0
3139,0
3140,0
3142,0
3148,0
3149,0
3151,0
3154,0
3156,0
3159,0
3160,0
3164,0
3166,0
3169,0
3172,0
3173,0
3176,0
3179,0
3180,0
3185,0
3186,0
3187,0
3189,0
3191,0
3193,0
3194,0
3196,0
3197,0
3199,0
3211,0
3212,0
3213,0
3214,0
3215,0
3222,0
3230,0
3232,0
3247,0
3248,0
3252,0
3254,0
3257,0
3258,0
3259,0
3262,0
3266,0
3269,0
3271,0
3272,0
3278,0
3281,0
3285,0
3286,0
3289,0
3290,0
3294,0
3298,0
3299,0
3300,0
3302,0
3305,0
3306,0
3308,0
3309,0
3311,0
3312,0
3317,0
3319,0
3322,0
3331,0
3335,0
3347,0
3350,0
3360,0
3362,0
3375,0
3392,0
3396,0
3397,0
3412,0
3423,0
3428,0
3439,0
3459,0
3470,0
3474,0
3478,0
3481,0
3489,0
3490,0
3491,0
3492,0
3494,0
3495,0
3496,0
3499,0
3501,0
3505,0
3506,0
3508,0
3513,0
3516,0
3520,0
3533,0
3539,0
3541,0
3544,0
3563,0
3571,0
3581,0
3593,0
3594,0
3607,0
3619,0
3622,0
3629,0
3646,0
3649,0
3655,0
3657,0
3662,0
3671,0
3677,0
3680,0
3684,0
3686,0
3697,0
3701,0
3705,0
3707,0
3715,0
3717,0
3718,0
3728,0
3739,0
3750,0
3754,0
3755,0
3759,0
3761,0
3765,0
3772,0
3774,0
3785,0
3796,0
3797,0
3804,0
3805,0
3808,0
3823,0
3834,0
3835,0
3843,0
3855,0
3867,0
3872,0
3882,0
3887,0
3891,0
3892,0
3893,0
3899,0
3905,0
3906,0
3907,0
3911,0
3917,0
3918,0
3925,0
3926,0
3934,0
3937,0
3938,0
3939,0
3940,0
3941,0
3943,0
3944,0
3945,0
3962,0
3965,0
3970,0
3976,0
3983,0
3988,0
4010,0
4011,0
4017,0
4027,0
4044,0
4050,0
4052,0
4055,0
4076,0
4077,0
4086,0
4090,0
4092,0
4096,0
4111,0
4115,0
4116,0
4117,0
4121,0
4124,0
4126,0
4138,0
4141,0
4143,0
4148,0
4149,0
4153,0
4154,0
4155,0
4156,0
4160,0
4163,0
4169,0
4170,0
4182,0
4187,0
4191,0
4193,0
4200,0
4202,0
4203,0
4212,0
4218,0
4225,0
4231,0
4232,0
4233,0
4238,0
4240,0
4248,0
4257,0
4261,0
4263,0
4264,0
4271,0
4272,0
4273,0
4277,0
4282,0
4286,0
4294,0
4301,0
4311,0
4318,0
4321,0
4322,0
4333,0
4335,0
4353,0
4357,0
4358,0
4362,0
4368,0
4369,0
4371,0
4373,0
4376,0
4378,0
4381,0
4382,0
4386,0
4388,0
4390,0
4391,0
4392,0
4393,0
4394,0
4396,0
4397,0
4399,0
4405,0
4408,0
4409,0
4414,0
4418,0
4420,0
4427,0
4430,0
4445,0
4448,0
4454,0
4455,0
4464,0
4468,0
4469,0
4472,0
4478,0
4479,0
4485,0
4486,0
4487,0
4496,0
4499,0
4507,0
4512,0
4522,0
4523,0
4530,0
4535,0
4537,0
4538,0
4542,0
4545,0
4552,0
4555,0
4557,0
4558,0
4561,0
4562,0
4565,0
4567,0
4570,0
4573,0
4574,0
4577,0
4580,0
4582,0
4583,0
4585,0
4586,0
4590,0
4594,0
