,group
14,2
23,2
87,2
90,2
117,2
133,2
327,2
383,2
394,2
412,2
448,2
493,2
496,2
536,2
540,2
614,2
659,2
724,2
729,2
743,2
754,2
770,2
830,2
900,2
916,2
959,2
972,2
973,2
976,2
1015,2
1020,2
1040,2
1048,2
1061,2
1088,2
1175,2
1183,2
1192,2
1196,2
1260,2
1276,2
1357,2
1410,2
1422,2
1476,2
1481,2
1504,2
1584,2
1624,2
1661,2
1704,2
1705,2
1721,2
1744,2
1764,2
1770,2
2005,2
2057,2
2081,2
2187,2
2239,2
2269,2
2279,2
2410,2
2411,2
2418,2
2425,2
2455,2
2456,2
2463,2
2511,2
2577,2
2588,2
2602,2
2660,2
2761,2
2768,2
2779,2
2868,2
2906,2
2909,2
2926,2
2939,2
2956,2
3000,2
3005,2
3009,2
3040,2
3041,2
3043,2
3050,2
3074,2
3155,2
3157,2
3163,2
3175,2
3178,2
3210,2
3234,2
3236,2
3243,2
3256,2
3270,2
3288,2
3325,2
3359,2
3364,2
3372,2
3386,2
3462,2
3517,2
3521,2
3529,2
3543,2
3567,2
3574,2
3580,2
3589,2
3595,2
3596,2
3600,2
3603,2
3605,2
3631,2
3640,2
3712,2
3799,2
3800,2
3875,2
3888,2
3904,2
3920,2
3922,2
3927,2
3942,2
3958,2
3992,2
4004,2
4015,2
4024,2
4031,2
4032,2
4036,2
4056,2
4059,2
4103,2
4104,2
4123,2
4142,2
4171,2
4184,2
4250,2
4258,2
4316,2
4339,2
4385,2
4475,2
4498,2
4500,2
4504,2
4549,2
4550,2
4612,2
4625,2
4640,2
4656,2
4666,2
4672,2
4697,2
4710,2
4716,2
4723,2
4756,2
4760,2
4767,2
4784,2
4795,2
4824,2
4845,2
4848,2
4862,2
4876,2
4927,2
4940,2
4996,2
4998,2
5003,2
5005,2
5009,2
5018,2
5026,2
5036,2
5047,2
5050,2
5058,2
5075,2
5080,2
5088,2
5099,2
5103,2
5104,2
5113,2
5115,2
5125,2
5127,2
5205,2
5235,2
5240,2
5245,2
5273,2
5295,2
5307,2
5308,2
5310,2
5311,2
5351,2
5380,2
5381,2
5390,2
5417,2
5432,2
5439,2
5483,2
5496,2
5536,2
5590,2
5621,2
5696,2
5711,2
5718,2
5720,2
5729,2
5756,2
5759,2
5767,2
5806,2
5807,2
5808,2
5809,2
5825,2
5832,2
5838,2
5846,2
5902,2
5948,2
5960,2
5974,2
5977,2
5982,2
5993,2
6004,2
6041,2
6057,2
6094,2
6108,2
6153,2
6171,2
6172,2
6174,2
6192,2
6205,2
6256,2
6261,2
6269,2
6271,2
6275,2
6293,2
6301,2
6310,2
6312,2
6316,2
6323,2
6325,2
6326,2
6435,2
6491,2
6514,2
6527,2
6539,2
6543,2
6553,2
6615,2
6617,2
6644,2
6645,2
6646,2
6678,2
6684,2
6756,2
6768,2
6797,2
6816,2
6820,2
6835,2
6854,2
6877,2
6891,2
6909,2
6910,2
6922,2
6946,2
6956,2
6967,2
6982,2
6992,2
6993,2
6995,2
6997,2
7011,2
7028,2
7038,2
7057,2
7080,2
7081,2
7086,2
7103,2
7155,2
7211,2
7228,2
7236,2
7260,2
7275,2
7310,2
7315,2
7326,2
7327,2
7329,2
7353,2
7355,2
7360,2
7365,2
7374,2
7387,2
7390,2
7391,2
7392,2
7393,2
7394,2
7395,2
7396,2
7397,2
7401,2
7405,2
7408,2
7410,2
7445,2
7449,2
7455,2
7514,2
7535,2
7564,2
7568,2
7576,2
7647,2
7648,2
7650,2
7654,2
7661,2
7705,2
7711,2
7716,2
7737,2
7748,2
7760,2
7776,2
7801,2
7823,2
7833,2
7856,2
7870,2
7872,2
7874,2
7902,2
7906,2
7913,2
7930,2
7934,2
7936,2
7942,2
7950,2
7956,2
7962,2
7963,2
7965,2
7987,2
7991,2
7998,2
8022,2
8030,2
8032,2
8035,2
8038,2
8047,2
8051,2
8061,2
8092,2
8106,2
8107,2
8117,2
8118,2
8123,2
8131,2
8151,2
8152,2
8158,2
8163,2
8167,2
8185,2
8186,2
8200,2
8204,2
8207,2
8216,2
8218,2
8229,2
8239,2
8260,2
8272,2
8286,2
8295,2
8308,2
8328,2
8330,2
8336,2
8339,2
8348,2
8351,2
8355,2
8360,2
8369,2
8371,2
8383,2
8398,2
8405,2
8453,2
8454,2
8455,2
8477,2
8520,2
8529,2
8530,2
8538,2
8561,2
8567,2
8574,2
8575,2
8610,2
8611,2
8614,2
8631,2
8632,2
8633,2
8637,2
8649,2
8672,2
8678,2
8698,2
8699,2
8723,2
8729,2
8734,2
8735,2
8740,2
8746,2
8750,2
8770,2
8794,2
8795,2
8796,2
8819,2
8871,2
8877,2
8881,2
8883,2
8885,2
8894,2
8897,2
8930,2
8944,2
8966,2
8969,2
8976,2
8985,2
8991,2
9003,2
9006,2
9011,2
9028,2
9048,2
9054,2
9067,2
9079,2
9092,2
9099,2
9107,2
9112,2
9115,2
9117,2
9122,2
9130,2
9140,2
9165,2
9173,2
9189,2
9191,2
9195,2
9197,2
9199,2
9201,2
9206,2
9210,2
9225,2
9239,2
9246,2
9252,2
9259,2
9266,2
9268,2
9275,2
9286,2
9289,2
9292,2
9293,2
9295,2
9297,2
9304,2
9313,2
9321,2
9323,2
9325,2
9330,2
9335,2
9339,2
9362,2
9368,2
9373,2
9394,2
9403,2
9409,2
9418,2
9430,2
9468,2
9469,2
9473,2
9475,2
9476,2
9479,2
9485,2
9496,2
9515,2
9518,2
9519,2
9520,2
9522,2
9525,2
9532,2
9547,2
9556,2
9566,2
9597,2
9610,2
9615,2
9621,2
9622,2
9685,2
9705,2
9707,2
9746,2
9747,2
9748,2
9762,2
9776,2
9777,2
9795,2
9800,2
9838,2
9867,2
9891,2
9901,2
9910,2
9912,2
9922,2
9944,2
9952,2
9974,2
10004,2
10007,2
10020,2
10025,2
10036,2
10125,2
10138,2
10161,2
10162,2
10167,2
10177,2
10179,2
10188,2
10220,2
10233,2
10244,2
10265,2
10299,2
10302,2
10304,2
10308,2
10340,2
10347,2
10349,2
10367,2
10377,2
10379,2
10393,2
10397,2
10412,2
10462,2
10497,2
10509,2
10571,2
10579,2
10592,2
10593,2
10603,2
10623,2
10637,2
10648,2
10728,2
10736,2
10745,2
10765,2
10781,2
10806,2
10849,2
10909,2
10910,2
10911,2
10917,2
10921,2
10934,2
10952,2
10979,2
10982,2
11004,2
11026,2
11028,2
11048,2
11067,2
11079,2
11092,2
11098,2
11100,2
11102,2
11107,2
11116,2
11123,2
11154,2
11155,2
11182,2
11184,2
11210,2
11213,2
11220,2
11235,2
11281,2
11284,2
11288,2
11308,2
11311,2
11319,2
11326,2
11328,2
11335,2
11340,2
11353,2
11376,2
11377,2
11393,2
11395,2
11400,2
11406,2
11414,2
11421,2
11433,2
11441,2
11445,2
11472,2
11479,2
11511,2
11528,2
11588,2
11596,2
11598,2
11600,2
11611,2
11617,2
11628,2
11642,2
11662,2
11683,2
11717,2
11735,2
11753,2
11806,2
11828,2
11837,2
11852,2
11855,2
11858,2
11879,2
11887,2
11913,2
11921,2
11931,2
11944,2
11958,2
11963,2
11992,2
11997,2
12001,2
12003,2
12005,2
12007,2
12009,2
12015,2
12039,2
12045,2
12047,2
12056,2
12071,2
12072,2
12085,2
12096,2
12103,2
12117,2
12120,2
12124,2
12129,2
12138,2
12146,2
12174,2
12191,2
12202,2
12205,2
12214,2
12245,2
12318,2
12372,2
12424,2
12438,2
12447,2
12451,2
12460,2
12493,2
12495,2
12500,2
12509,2
12510,2
12512,2
12515,2
12527,2
12545,2
12555,2
12557,2
12560,2
12567,2
12569,2
12620,2
12682,2
12700,2
12757,2
12765,2
12831,2
12844,2
12850,2
12853,2
12855,2
12858,2
12865,2
12874,2
12875,2
12877,2
12886,2
12890,2
12900,2
12908,2
12924,2
12969,2
12970,2
13002,2
13009,2
13011,2
13020,2
13062,2
13092,2
13095,2
13127,2
13161,2
13167,2
13170,2
13187,2
13230,2
13246,2
13259,2
13264,2
13266,2
13269,2
13289,2
13312,2
13314,2
13337,2
13340,2
13344,2
13346,2
13364,2
13367,2
13371,2
13382,2
13387,2
13408,2
13425,2
13428,2
13431,2
13434,2
13438,2
13468,2
13485,2
13494,2
13539,2
13546,2
13561,2
13572,2
13574,2
13578,2
13603,2
13621,2
13628,2
13634,2
13647,2
13660,2
13661,2
13667,2
13674,2
13689,2
13695,2
13713,2
13727,2
13736,2
13741,2
13752,2
13756,2
13766,2
13781,2
13782,2
13814,2
13819,2
13840,2
13870,2
13874,2
13898,2
13909,2
13927,2
13946,2
13947,2
13948,2
13964,2
13970,2
13971,2
13976,2
13977,2
13980,2
13983,2
13997,2
14013,2
14015,2
14019,2
14022,2
14036,2
14055,2
14068,2
14074,2
14098,2
14105,2
14119,2
14135,2
14137,2
14138,2
14139,2
14163,2
14189,2
14191,2
14195,2
14196,2
14217,2
14236,2
14256,2
14270,2
14293,2
14355,2
14367,2
14377,2
14389,2
14395,2
14400,2
14405,2
14407,2
14418,2
14438,2
14448,2
14451,2
14453,2
14468,2
14472,2
14477,2
14481,2
14492,2
14496,2
14499,2
14515,2
14528,2
14543,2
14577,2
14580,2
14602,2
14613,2
14622,2
14638,2
14640,2
14679,2
14801,2
14810,2
14816,2
14821,2
14824,2
14829,2
14833,2
14837,2
14846,2
14848,2
14850,2
14865,2
14870,2
14891,2
14903,2
14910,2
14913,2
14922,2
14940,2
14953,2
14954,2
14958,2
14971,2
14973,2
14984,2
15011,2
15017,2
15020,2
15024,2
15029,2
15032,2
15054,2
15062,2
15066,2
15068,2
15071,2
15076,2
15082,2
15126,2
15132,2
15133,2
15135,2
15153,2
15219,2
15220,2
15255,2
15267,2
15292,2
15301,2
15310,2
15335,2
15340,2
15350,2
15402,2
15415,2
15432,2
15447,2
15463,2
15467,2
15500,2
15502,2
15518,2
15527,2
15537,2
15548,2
15571,2
15579,2
15584,2
15615,2
15618,2
15619,2
15622,2
15639,2
15680,2
15698,2
15702,2
15704,2
15729,2
15747,2
15770,2
15792,2
15793,2
15794,2
15798,2
15817,2
15818,2
15837,2
15840,2
15844,2
15863,2
15865,2
15867,2
15875,2
15878,2
15899,2
15922,2
15927,2
15931,2
15950,2
15961,2
15972,2
15980,2
16039,2
16057,2
16084,2
16099,2
16104,2
16107,2
16137,2
16141,2
16149,2
16166,2
16189,2
16198,2
16201,2
16216,2
16258,2
16265,2
16269,2
16270,2
16276,2
16277,2
16287,2
16288,2
16289,2
16290,2
16291,2
16316,2
16320,2
16370,2
16398,2
16470,2
16488,2
16492,2
16495,2
16499,2
16500,2
16557,2
16561,2
16563,2
16566,2
16571,2
16574,2
16575,2
16581,2
16584,2
16588,2
16589,2
16591,2
16596,2
16600,2
16607,2
16616,2
16619,2
16621,2
16623,2
16626,2
16633,2
16636,2
16637,2
16638,2
16639,2
16642,2
16643,2
16652,2
16662,2
16665,2
16669,2
16696,2
16772,2
16776,2
16791,2
16794,2
16798,2
16801,2
16817,2
16821,2
16826,2
16835,2
16838,2
16841,2
16845,2
16846,2
16852,2
16868,2
16871,2
16882,2
16940,2
16942,2
16964,2
16979,2
16984,2
16985,2
17005,2
17006,2
17030,2
17034,2
17042,2
17053,2
17063,2
17080,2
17099,2
17102,2
17121,2
17136,2
17138,2
17148,2
17173,2
17180,2
17193,2
17205,2
17218,2
17219,2
17222,2
17224,2
17229,2
17238,2
17243,2
17265,2
17272,2
17280,2
17282,2
17288,2
17326,2
17345,2
17355,2
17366,2
17381,2
17397,2
17399,2
17419,2
17425,2
17426,2
17432,2
17444,2
17478,2
17482,2
17501,2
17507,2
17510,2
17517,2
17527,2
17531,2
17573,2
17593,2
17633,2
17635,2
17641,2
17645,2
17647,2
17663,2
17709,2
17710,2
17729,2
17737,2
17782,2
17799,2
17808,2
17820,2
17831,2
17838,2
17845,2
17848,2
17849,2
17867,2
17891,2
17903,2
