,group
8601,3
8609,3
8624,3
8635,3
8648,3
8667,3
8680,3
8738,3
8777,3
8839,3
8847,3
8857,3
8900,3
8914,3
8923,3
9005,3
9013,3
9017,3
9040,3
9068,3
9078,3
9121,3
9126,3
9144,3
9153,3
9160,3
9170,3
9178,3
9219,3
9245,3
9248,3
9261,3
9296,3
9300,3
9307,3
9316,3
9341,3
9345,3
9422,3
9446,3
9450,3
9459,3
9477,3
9495,3
9508,3
9539,3
9543,3
9570,3
9576,3
9589,3
9599,3
9654,3
9656,3
9724,3
9743,3
9766,3
9767,3
9806,3
9812,3
9816,3
9818,3
9826,3
9831,3
9832,3
9843,3
9865,3
9866,3
9893,3
9904,3
9920,3
9936,3
9957,3
9963,3
9990,3
9995,3
9998,3
10048,3
10069,3
10087,3
10100,3
10117,3
10124,3
10158,3
10159,3
10172,3
10174,3
10183,3
10207,3
10281,3
10297,3
10311,3
10314,3
10333,3
10351,3
10352,3
10362,3
10382,3
10390,3
10402,3
10409,3
10418,3
10421,3
10428,3
10468,3
10490,3
10495,3
10537,3
10585,3
10609,3
10631,3
10652,3
10663,3
10685,3
10693,3
10700,3
10719,3
10753,3
10754,3
10757,3
10772,3
10783,3
10791,3
10841,3
10850,3
10894,3
10912,3
10914,3
10936,3
10954,3
11005,3
11130,3
11147,3
11165,3
11183,3
11192,3
11200,3
11214,3
11216,3
11217,3
11218,3
11222,3
11230,3
11248,3
11249,3
11264,3
11266,3
11287,3
11305,3
11354,3
11367,3
11392,3
11403,3
11451,3
11495,3
11497,3
11509,3
11541,3
11597,3
11599,3
11614,3
11636,3
11651,3
11743,3
11748,3
11750,3
11754,3
11759,3
11771,3
11775,3
11802,3
11822,3
11831,3
11835,3
11838,3
11876,3
11912,3
11953,3
11956,3
11959,3
11960,3
11966,3
11975,3
11983,3
11991,3
11994,3
12050,3
12067,3
12092,3
12108,3
12127,3
12132,3
12166,3
12179,3
12187,3
12233,3
12296,3
12350,3
12374,3
12380,3
12416,3
12471,3
12613,3
12649,3
12675,3
12678,3
12685,3
12686,3
12724,3
12738,3
12782,3
12788,3
12794,3
12836,3
12967,3
12990,3
13000,3
13038,3
13041,3
13078,3
13088,3
13152,3
13183,3
13267,3
13298,3
13299,3
13304,3
13332,3
13398,3
13452,3
13488,3
13489,3
13507,3
13530,3
13532,3
13558,3
13620,3
13631,3
13666,3
13723,3
13726,3
13757,3
13768,3
13779,3
13788,3
13797,3
13804,3
13812,3
13836,3
13839,3
13849,3
13865,3
13896,3
13930,3
13935,3
13939,3
13943,3
13957,3
14006,3
14010,3
14016,3
14048,3
14073,3
14118,3
14162,3
14174,3
14178,3
14213,3
14233,3
14244,3
14266,3
14275,3
14276,3
14287,3
14311,3
14356,3
14412,3
14506,3
14509,3
14573,3
14634,3
14719,3
14762,3
14767,3
14788,3
14881,3
14929,3
15008,3
15016,3
15057,3
15105,3
15119,3
15134,3
15145,3
15152,3
15216,3
15277,3
15324,3
15353,3
15385,3
15407,3
15442,3
15499,3
15589,3
15628,3
15640,3
15645,3
15699,3
15753,3
15762,3
15779,3
15874,3
15886,3
15992,3
16032,3
16034,3
16076,3
16091,3
16101,3
16114,3
16118,3
16175,3
16196,3
16200,3
16401,3
16433,3
16468,3
16510,3
16555,3
16558,3
16622,3
16702,3
16705,3
16728,3
16854,3
16912,3
16924,3
16934,3
16939,3
16941,3
16943,3
16946,3
16947,3
16953,3
16974,3
16987,3
16994,3
16998,3
17046,3
17066,3
17303,3
17314,3
17333,3
17336,3
17372,3
17394,3
17458,3
17481,3
17505,3
17516,3
17542,3
17557,3
17571,3
17581,3
17601,3
17610,3
17616,3
17690,3
17712,3
17721,3
17771,3
17859,3
17940,3
18056,3
18058,3
18103,3
18133,3
18161,3
18180,3
18187,3
18233,3
18245,3
18250,3
18257,3
18317,3
18325,3
18415,3
18416,3
18449,3
18453,3
18476,3
18483,3
18501,3
18516,3
18533,3
18607,3
18638,3
18671,3
18759,3
18771,3
18812,3
18813,3
18816,3
18823,3
18849,3
18869,3
18883,3
18896,3
18901,3
18910,3
18918,3
18923,3
18967,3
18983,3
18985,3
18997,3
19066,3
19093,3
19105,3
19122,3
19232,3
19236,3
19278,3
19286,3
19287,3
19288,3
19345,3
19377,3
19399,3
19420,3
19431,3
19482,3
19549,3
19674,3
19827,3
19828,3
19832,3
19838,3
19859,3
19910,3
19972,3
20015,3
20047,3
20085,3
20103,3
20107,3
20130,3
20135,3
20138,3
20174,3
20175,3
20179,3
20431,3
20450,3
20453,3
20455,3
20479,3
20499,3
20510,3
20523,3
20561,3
20578,3
20583,3
20584,3
20617,3
20652,3
20686,3
20715,3
20732,3
20756,3
20807,3
20809,3
20821,3
20853,3
20949,3
20962,3
21044,3
21083,3
21087,3
21118,3
21137,3
21172,3
21191,3
21193,3
21244,3
21254,3
21324,3
21335,3
21403,3
21541,3
21551,3
21620,3
21644,3
21683,3
21825,3
21838,3
21882,3
22024,3
22038,3
22158,3
22228,3
22232,3
22298,3
22345,3
22378,3
22427,3
22434,3
22447,3
22460,3
22555,3
22574,3
22711,3
22728,3
22765,3
22864,3
22944,3
22955,3
22980,3
23073,3
23077,3
23105,3
23132,3
23133,3
23192,3
23205,3
23227,3
23258,3
23360,3
23362,3
23366,3
23369,3
23374,3
23545,3
23560,3
23561,3
23572,3
23680,3
23691,3
23692,3
23801,3
23900,3
23922,3
23930,3
24085,3
24097,3
24220,3
24222,3
24251,3
24271,3
24303,3
24306,3
24308,3
24314,3
24527,3
24536,3
24594,3
24599,3
24627,3
24673,3
24743,3
24761,3
24838,3
24846,3
24854,3
24863,3
