,group
3,4
6,4
9,4
16,4
17,4
34,4
39,4
43,4
48,4
50,4
52,4
54,4
55,4
73,4
75,4
86,4
98,4
124,4
128,4
141,4
172,4
176,4
186,4
187,4
195,4
197,4
199,4
206,4
207,4
208,4
210,4
212,4
222,4
224,4
225,4
226,4
229,4
230,4
231,4
235,4
238,4
241,4
245,4
252,4
256,4
258,4
262,4
266,4
268,4
269,4
272,4
273,4
284,4
285,4
287,4
288,4
297,4
298,4
300,4
304,4
306,4
307,4
312,4
313,4
316,4
328,4
334,4
336,4
337,4
339,4
342,4
345,4
353,4
367,4
370,4
376,4
378,4
385,4
389,4
393,4
395,4
396,4
398,4
403,4
404,4
406,4
408,4
411,4
413,4
421,4
424,4
425,4
426,4
427,4
430,4
431,4
433,4
435,4
437,4
444,4
445,4
449,4
451,4
452,4
455,4
460,4
462,4
466,4
468,4
472,4
474,4
476,4
482,4
485,4
494,4
497,4
498,4
499,4
500,4
501,4
502,4
510,4
521,4
523,4
526,4
530,4
532,4
542,4
545,4
547,4
548,4
549,4
556,4
558,4
559,4
570,4
574,4
575,4
577,4
578,4
581,4
582,4
589,4
595,4
597,4
600,4
606,4
618,4
635,4
640,4
646,4
650,4
655,4
656,4
658,4
664,4
669,4
673,4
677,4
688,4
690,4
693,4
699,4
700,4
702,4
703,4
705,4
707,4
714,4
715,4
717,4
718,4
721,4
726,4
732,4
746,4
751,4
759,4
762,4
768,4
771,4
779,4
780,4
784,4
788,4
793,4
794,4
795,4
802,4
806,4
812,4
825,4
833,4
840,4
853,4
862,4
867,4
870,4
879,4
881,4
883,4
884,4
888,4
903,4
909,4
918,4
926,4
927,4
930,4
933,4
935,4
938,4
940,4
949,4
952,4
954,4
955,4
957,4
958,4
961,4
962,4
963,4
970,4
978,4
980,4
982,4
986,4
989,4
990,4
991,4
993,4
994,4
995,4
996,4
997,4
998,4
1000,4
1001,4
1005,4
1006,4
1010,4
1011,4
1014,4
1016,4
1017,4
1018,4
1021,4
1032,4
1037,4
1041,4
1043,4
1045,4
1056,4
1059,4
1078,4
1080,4
1089,4
1091,4
1095,4
1097,4
1098,4
1102,4
1103,4
1104,4
1106,4
1107,4
1113,4
1121,4
1126,4
1129,4
1134,4
1136,4
1137,4
1144,4
1146,4
1147,4
1149,4
1153,4
1162,4
1163,4
1165,4
1173,4
1177,4
1179,4
1182,4
1201,4
1202,4
1203,4
1208,4
1213,4
1214,4
1215,4
1219,4
1230,4
1232,4
1233,4
1237,4
1240,4
1241,4
1245,4
1251,4
1253,4
1255,4
1274,4
1278,4
1285,4
1291,4
1292,4
1295,4
1299,4
1300,4
1301,4
1302,4
1314,4
1316,4
1318,4
1320,4
1321,4
1323,4
1324,4
1334,4
1340,4
1342,4
1345,4
1347,4
1352,4
1359,4
1362,4
1368,4
1371,4
1377,4
1378,4
1382,4
1389,4
1392,4
1393,4
1396,4
1401,4
1416,4
1418,4
1421,4
1431,4
1434,4
1435,4
1441,4
1448,4
1449,4
1450,4
1451,4
1452,4
1453,4
1454,4
1455,4
1457,4
1468,4
1470,4
1475,4
1479,4
1483,4
1491,4
1495,4
1497,4
1501,4
1508,4
1510,4
1512,4
1514,4
1523,4
1524,4
1525,4
1529,4
1535,4
1539,4
1543,4
1548,4
1554,4
1558,4
1559,4
1561,4
1563,4
1565,4
1567,4
1571,4
1576,4
1577,4
1580,4
1581,4
1582,4
1586,4
1587,4
1588,4
1589,4
1591,4
1593,4
1597,4
1602,4
1603,4
1605,4
1611,4
1612,4
1613,4
1615,4
1622,4
1629,4
1632,4
1633,4
1635,4
1636,4
1641,4
1642,4
1648,4
1649,4
1651,4
1655,4
1656,4
1657,4
1658,4
1660,4
1672,4
1678,4
1680,4
1682,4
1684,4
1692,4
1693,4
1695,4
1696,4
1703,4
1709,4
1711,4
1713,4
1715,4
1723,4
1736,4
1738,4
1739,4
1747,4
1748,4
1750,4
1753,4
1769,4
1774,4
1778,4
1781,4
1790,4
1796,4
1797,4
1799,4
1801,4
1810,4
1820,4
1824,4
1828,4
1831,4
1832,4
1833,4
1835,4
1836,4
1838,4
1846,4
1855,4
1858,4
1859,4
1861,4
1862,4
1863,4
1865,4
1866,4
1875,4
1885,4
1890,4
1891,4
1895,4
1899,4
1906,4
1911,4
1915,4
1916,4
1924,4
1928,4
1930,4
1935,4
1938,4
1949,4
1951,4
1955,4
1956,4
1961,4
1966,4
1968,4
1970,4
1971,4
1975,4
1979,4
1983,4
1991,4
2002,4
2004,4
2006,4
2008,4
2012,4
2013,4
2017,4
2018,4
2026,4
2039,4
2041,4
2043,4
2045,4
2046,4
2055,4
2059,4
2069,4
2072,4
2075,4
2080,4
2091,4
2095,4
2097,4
2098,4
2100,4
2101,4
2108,4
2112,4
2118,4
2130,4
2134,4
2148,4
2149,4
2152,4
2154,4
2155,4
2157,4
2162,4
2167,4
2172,4
2175,4
2176,4
2183,4
2186,4
2191,4
2199,4
2200,4
2202,4
2207,4
2209,4
2210,4
2212,4
2214,4
2218,4
2229,4
2231,4
2232,4
2233,4
2235,4
2241,4
2244,4
2249,4
2252,4
2253,4
2258,4
2262,4
2270,4
2275,4
2278,4
2282,4
2286,4
2290,4
2298,4
2299,4
2302,4
2306,4
2310,4
2311,4
2336,4
2339,4
2341,4
2342,4
2348,4
2350,4
2355,4
2358,4
2361,4
2362,4
2374,4
2377,4
2378,4
2381,4
2386,4
2389,4
2391,4
2392,4
2394,4
2406,4
2416,4
2424,4
2426,4
2429,4
2431,4
2442,4
2454,4
2459,4
2465,4
2470,4
2472,4
2475,4
2483,4
2484,4
2489,4
2493,4
2499,4
2501,4
2529,4
2531,4
2535,4
2536,4
2538,4
2539,4
2540,4
2542,4
2543,4
2555,4
2560,4
2561,4
2568,4
2569,4
2571,4
2574,4
2583,4
2585,4
2589,4
2590,4
2593,4
2595,4
2596,4
2598,4
2604,4
2605,4
2616,4
2630,4
2632,4
2633,4
2638,4
2639,4
2642,4
2646,4
2651,4
2659,4
2663,4
2664,4
2665,4
2668,4
2670,4
2672,4
2674,4
2679,4
2681,4
2682,4
2684,4
2685,4
2686,4
2702,4
2709,4
2720,4
2721,4
2725,4
2732,4
2733,4
2735,4
2736,4
2737,4
2738,4
2739,4
2747,4
2751,4
2755,4
2759,4
2764,4
2769,4
2772,4
2774,4
2783,4
2784,4
2789,4
2794,4
2801,4
2808,4
2809,4
2825,4
2832,4
2845,4
2846,4
2850,4
2856,4
2857,4
2859,4
2862,4
2872,4
2878,4
2879,4
2889,4
2890,4
2894,4
2898,4
2900,4
2903,4
2917,4
2929,4
2931,4
2932,4
2954,4
2964,4
2965,4
2971,4
2972,4
2979,4
2981,4
2989,4
2993,4
2997,4
3012,4
3013,4
3024,4
3030,4
3033,4
3039,4
3042,4
3058,4
3060,4
3071,4
3073,4
3076,4
3085,4
3088,4
3089,4
3090,4
3091,4
3093,4
3096,4
3101,4
3110,4
3112,4
3113,4
3116,4
3137,4
3143,4
3145,4
3150,4
3161,4
3165,4
3167,4
3168,4
3170,4
3177,4
3190,4
3192,4
3202,4
3203,4
3204,4
3207,4
3235,4
3238,4
3240,4
3244,4
3250,4
3263,4
3274,4
3282,4
3283,4
3284,4
3291,4
3297,4
3301,4
3303,4
3304,4
3307,4
3310,4
3313,4
3314,4
3315,4
3329,4
3332,4
3342,4
3348,4
3351,4
3352,4
3353,4
3355,4
3356,4
3365,4
3367,4
3371,4
3374,4
3377,4
3379,4
3383,4
3384,4
3387,4
3390,4
3400,4
3401,4
3405,4
3407,4
3414,4
3420,4
3425,4
3427,4
3429,4
3434,4
3436,4
3441,4
3443,4
3445,4
3446,4
3447,4
3448,4
3449,4
3452,4
3454,4
3463,4
3464,4
3467,4
3471,4
3476,4
3480,4
3483,4
3497,4
3500,4
3502,4
3503,4
3511,4
3512,4
3519,4
3522,4
3537,4
3545,4
3547,4
3550,4
3553,4
3559,4
3564,4
3569,4
3572,4
3575,4
3576,4
3583,4
3584,4
3585,4
3588,4
3598,4
3608,4
3609,4
3618,4
3625,4
3627,4
3632,4
3637,4
3639,4
3651,4
3654,4
3658,4
3661,4
3664,4
3668,4
3672,4
3683,4
3687,4
3690,4
3692,4
3695,4
3696,4
3698,4
3699,4
3706,4
3710,4
3713,4
3719,4
3727,4
3735,4
3736,4
3743,4
3752,4
3753,4
3758,4
3760,4
3764,4
3770,4
3771,4
3773,4
3780,4
3781,4
3782,4
3788,4
3794,4
3795,4
3806,4
3809,4
3810,4
3812,4
3821,4
3826,4
3829,4
3833,4
3836,4
3837,4
3838,4
3839,4
3841,4
3842,4
3845,4
3846,4
3850,4
3852,4
3858,4
3862,4
3864,4
3865,4
3866,4
3871,4
3873,4
3879,4
3880,4
3881,4
3884,4
3885,4
3890,4
3894,4
3895,4
3896,4
3897,4
3901,4
3902,4
3908,4
3910,4
3913,4
3915,4
3916,4
3919,4
3928,4
3929,4
3933,4
3936,4
3947,4
3951,4
3953,4
3961,4
3963,4
3968,4
3969,4
3972,4
3974,4
3975,4
3977,4
3978,4
3981,4
3982,4
3985,4
3987,4
3990,4
3994,4
3997,4
3998,4
3999,4
4000,4
4001,4
4005,4
4009,4
4012,4
4014,4
4019,4
4021,4
4023,4
4026,4
4028,4
4033,4
4035,4
4037,4
4040,4
4043,4
4045,4
4046,4
4048,4
4051,4
4057,4
