,group
14,3
23,3
24,3
31,3
87,3
90,3
111,3
117,3
123,3
133,3
148,3
253,3
309,3
333,3
341,3
383,3
388,3
390,3
394,3
410,3
412,3
448,3
481,3
492,3
493,3
496,3
503,3
536,3
540,3
571,3
587,3
594,3
614,3
659,3
724,3
729,3
738,3
743,3
749,3
754,3
770,3
790,3
791,3
799,3
830,3
838,3
868,3
886,3
900,3
916,3
921,3
925,3
932,3
936,3
947,3
959,3
972,3
973,3
976,3
1015,3
1020,3
1040,3
1048,3
1061,3
1088,3
1100,3
1110,3
1117,3
1175,3
1178,3
1183,3
1192,3
1196,3
1225,3
1247,3
1248,3
1260,3
1272,3
1276,3
1309,3
1311,3
1356,3
1357,3
1410,3
1422,3
1476,3
1481,3
1504,3
1578,3
1584,3
1604,3
1609,3
1624,3
1661,3
1671,3
1704,3
1705,3
1714,3
1721,3
1744,3
1764,3
1770,3
1788,3
1839,3
1882,3
1923,3
1927,3
1939,3
1997,3
2005,3
2024,3
2029,3
2057,3
2063,3
2081,3
2086,3
2087,3
2138,3
2177,3
2187,3
2239,3
2269,3
2279,3
2307,3
2334,3
2346,3
2356,3
2370,3
2404,3
2410,3
2411,3
2418,3
2425,3
2432,3
2444,3
2455,3
2456,3
2463,3
2511,3
2533,3
2577,3
2588,3
2591,3
2602,3
2628,3
2641,3
2645,3
2660,3
2676,3
2707,3
2734,3
2750,3
2753,3
2761,3
2765,3
2768,3
2779,3
2787,3
2864,3
2868,3
2905,3
2906,3
2909,3
2926,3
2939,3
2956,3
2969,3
3000,3
3005,3
3009,3
3018,3
3035,3
3040,3
3041,3
3043,3
3050,3
3056,3
3059,3
3074,3
3081,3
3105,3
3121,3
3147,3
3155,3
3157,3
3163,3
3174,3
3175,3
3178,3
3210,3
3231,3
3234,3
3236,3
3243,3
3249,3
3252,3
3256,3
3257,3
3270,3
3288,3
3309,3
3319,3
3323,3
3325,3
3340,3
3345,3
3359,3
3364,3
3372,3
3386,3
3399,3
3403,3
3412,3
3428,3
3431,3
3459,3
3462,3
3466,3
3470,3
3481,3
3517,3
3521,3
3529,3
3539,3
3543,3
3567,3
3573,3
3574,3
3580,3
3582,3
3589,3
3592,3
3595,3
3596,3
3600,3
3603,3
3605,3
3621,3
3631,3
3640,3
3657,3
3662,3
3666,3
3684,3
3691,3
3712,3
3739,3
3746,3
3799,3
3800,3
3825,3
3843,3
3867,3
3872,3
3875,3
3888,3
3904,3
3907,3
3920,3
3922,3
3926,3
3927,3
3937,3
3939,3
3942,3
3944,3
3956,3
3958,3
3970,3
3983,3
3984,3
3992,3
4004,3
4015,3
4024,3
4027,3
4029,3
4031,3
4032,3
4036,3
4038,3
4056,3
4059,3
4068,3
4073,3
4090,3
4103,3
4104,3
4123,3
4138,3
4142,3
4152,3
4157,3
4170,3
4171,3
4172,3
4184,3
4202,3
4218,3
4231,3
4240,3
4245,3
4250,3
4258,3
4262,3
4285,3
4316,3
4317,3
4322,3
4339,3
4360,3
4362,3
4369,3
4382,3
4385,3
4407,3
4448,3
4467,3
4471,3
4475,3
4498,3
4500,3
4504,3
4512,3
4517,3
4549,3
4550,3
4570,3
4585,3
4594,3
4599,3
4602,3
4605,3
4610,3
4612,3
4622,3
