,group
24,8
31,8
111,8
123,8
148,8
253,8
309,8
333,8
341,8
388,8
390,8
410,8
481,8
492,8
503,8
571,8
587,8
594,8
738,8
749,8
790,8
791,8
799,8
838,8
868,8
886,8
921,8
925,8
932,8
936,8
947,8
1100,8
1117,8
1178,8
1225,8
1247,8
1248,8
1272,8
1311,8
1356,8
1578,8
1604,8
1609,8
1671,8
1714,8
1788,8
1839,8
1882,8
1923,8
1927,8
1939,8
1997,8
2024,8
2029,8
2063,8
2086,8
2087,8
2177,8
2334,8
2346,8
2356,8
2370,8
2404,8
2432,8
2444,8
2533,8
2591,8
2628,8
2641,8
2645,8
2676,8
2707,8
2734,8
2750,8
2753,8
2765,8
2787,8
2864,8
2905,8
2969,8
3018,8
3035,8
3056,8
3059,8
3081,8
3121,8
3147,8
3231,8
3249,8
3252,8
3257,8
3309,8
3319,8
3323,8
3340,8
3403,8
3412,8
3428,8
3459,8
3466,8
3470,8
3481,8
3539,8
3573,8
3582,8
3592,8
3621,8
3657,8
3662,8
3666,8
3684,8
3691,8
3739,8
3746,8
3825,8
3843,8
3867,8
3872,8
3907,8
3926,8
3937,8
3939,8
3944,8
3956,8
3970,8
3983,8
3984,8
4027,8
4038,8
4068,8
4073,8
4090,8
4138,8
4152,8
4157,8
4170,8
4172,8
4202,8
4218,8
4231,8
4240,8
4245,8
4262,8
4285,8
4317,8
4322,8
4360,8
4362,8
4369,8
4382,8
4407,8
4448,8
4467,8
4512,8
4517,8
4570,8
4585,8
4594,8
4599,8
4602,8
4605,8
4610,8
4622,8
4639,8
4648,8
4653,8
4660,8
4677,8
4681,8
4686,8
4705,8
4717,8
4729,8
4730,8
4737,8
4752,8
4785,8
4816,8
4835,8
4884,8
4893,8
4920,8
4921,8
4935,8
4945,8
4974,8
4978,8
4987,8
4994,8
5008,8
5038,8
5042,8
5084,8
5086,8
5092,8
5096,8
5108,8
5118,8
5142,8
5143,8
5171,8
5181,8
5184,8
5269,8
5283,8
5299,8
5326,8
5337,8
5362,8
5369,8
5377,8
5392,8
5409,8
5441,8
5516,8
5567,8
5582,8
5599,8
5607,8
5645,8
5691,8
5708,8
5753,8
5763,8
5768,8
5848,8
5878,8
5888,8
5932,8
5950,8
5959,8
5965,8
5989,8
6001,8
6012,8
6017,8
6034,8
6054,8
6074,8
6076,8
6106,8
6128,8
6134,8
6140,8
6154,8
6201,8
6218,8
6221,8
6224,8
6227,8
6231,8
6234,8
6242,8
6244,8
6282,8
6299,8
6305,8
6317,8
6319,8
6322,8
6330,8
6372,8
6387,8
6410,8
6411,8
6417,8
6487,8
6504,8
6513,8
6523,8
6531,8
6536,8
6557,8
6569,8
6592,8
6602,8
6608,8
6641,8
6642,8
6650,8
6679,8
6724,8
6726,8
6777,8
6812,8
6875,8
6906,8
6916,8
6929,8
6944,8
6988,8
6991,8
6999,8
7002,8
7004,8
7006,8
7007,8
7009,8
7051,8
7064,8
7083,8
7127,8
7148,8
7156,8
7177,8
7243,8
7250,8
