,group
0,4
2,4
4,4
5,4
8,4
15,4
18,4
20,4
21,4
22,4
26,4
28,4
29,4
33,4
35,4
37,4
38,4
41,4
42,4
45,4
46,4
49,4
57,4
58,4
61,4
63,4
64,4
66,4
67,4
68,4
69,4
70,4
71,4
74,4
76,4
77,4
81,4
82,4
83,4
85,4
91,4
92,4
96,4
103,4
108,4
110,4
113,4
120,4
125,4
127,4
145,4
158,4
160,4
164,4
166,4
171,4
178,4
191,4
193,4
198,4
200,4
202,4
203,4
204,4
214,4
216,4
220,4
221,4
228,4
232,4
239,4
240,4
244,4
246,4
251,4
259,4
264,4
274,4
276,4
278,4
290,4
296,4
299,4
301,4
302,4
303,4
311,4
317,4
318,4
319,4
321,4
323,4
324,4
326,4
340,4
343,4
348,4
349,4
350,4
351,4
352,4
354,4
355,4
356,4
357,4
358,4
359,4
361,4
362,4
363,4
364,4
368,4
375,4
379,4
384,4
387,4
391,4
402,4
409,4
416,4
422,4
423,4
428,4
438,4
443,4
454,4
457,4
504,4
506,4
507,4
508,4
509,4
511,4
512,4
513,4
514,4
516,4
518,4
519,4
520,4
524,4
525,4
527,4
528,4
533,4
539,4
541,4
553,4
554,4
561,4
562,4
563,4
566,4
567,4
569,4
583,4
586,4
599,4
601,4
608,4
616,4
617,4
619,4
620,4
622,4
627,4
628,4
629,4
630,4
643,4
644,4
649,4
652,4
653,4
654,4
663,4
667,4
671,4
723,4
725,4
730,4
734,4
742,4
752,4
753,4
756,4
775,4
777,4
800,4
811,4
823,4
828,4
831,4
836,4
843,4
846,4
849,4
850,4
865,4
887,4
894,4
905,4
964,4
969,4
974,4
977,4
983,4
984,4
985,4
987,4
988,4
999,4
1003,4
1007,4
1012,4
1022,4
1035,4
1038,4
1044,4
1049,4
1063,4
1064,4
1071,4
1073,4
1085,4
1086,4
1087,4
1105,4
1123,4
1131,4
1135,4
1145,4
1151,4
1154,4
1156,4
1158,4
1166,4
1168,4
1181,4
1187,4
1193,4
1204,4
1205,4
1211,4
1216,4
1217,4
1220,4
1243,4
1261,4
1262,4
1275,4
1277,4
1282,4
1297,4
1307,4
1313,4
1317,4
1322,4
1325,4
1331,4
1337,4
1341,4
1343,4
1365,4
1374,4
1375,4
1379,4
1380,4
1383,4
1395,4
1398,4
1399,4
1404,4
1406,4
1408,4
1419,4
1423,4
1424,4
1428,4
1429,4
1436,4
1438,4
1440,4
1442,4
1443,4
1446,4
1458,4
1464,4
1465,4
1466,4
1467,4
1472,4
1478,4
1482,4
1488,4
1489,4
1490,4
1496,4
1498,4
1509,4
1516,4
1520,4
1527,4
1532,4
1534,4
1537,4
1538,4
1544,4
1555,4
1560,4
1562,4
1568,4
1569,4
1570,4
1572,4
1575,4
1583,4
1599,4
1600,4
1601,4
1607,4
1618,4
1621,4
1631,4
1637,4
1646,4
1652,4
1653,4
1659,4
1664,4
1674,4
1679,4
1683,4
1691,4
1694,4
1701,4
1716,4
1719,4
1722,4
1728,4
1732,4
1741,4
1743,4
1754,4
1763,4
1765,4
1772,4
1776,4
1780,4
1784,4
1785,4
1791,4
1792,4
1793,4
1794,4
1803,4
1804,4
1805,4
1806,4
1811,4
1812,4
1822,4
1823,4
1825,4
1826,4
1827,4
1829,4
1830,4
1834,4
1840,4
1841,4
1847,4
1849,4
1851,4
1852,4
1860,4
1868,4
1869,4
1871,4
1872,4
1874,4
1879,4
1887,4
1888,4
1889,4
1894,4
1896,4
1898,4
1903,4
1904,4
1907,4
1910,4
1914,4
1921,4
1922,4
1929,4
1933,4
1936,4
1942,4
1943,4
1959,4
1964,4
1965,4
1974,4
1985,4
2000,4
2009,4
2014,4
2019,4
2023,4
2028,4
2036,4
2042,4
2052,4
2056,4
2062,4
2070,4
2073,4
2084,4
2085,4
2096,4
2111,4
2115,4
2120,4
2127,4
2133,4
2140,4
2141,4
2142,4
2143,4
2145,4
2146,4
2161,4
2168,4
2189,4
2193,4
2204,4
2211,4
2213,4
2216,4
2217,4
2221,4
2223,4
2225,4
2236,4
2237,4
2243,4
2245,4
2248,4
2263,4
2265,4
2273,4
2300,4
2317,4
2322,4
2351,4
2354,4
2364,4
2405,4
2433,4
2441,4
2445,4
2449,4
2462,4
2464,4
2466,4
2467,4
2468,4
2471,4
2474,4
2476,4
2478,4
2479,4
2481,4
2482,4
2485,4
2490,4
2491,4
2498,4
2509,4
2512,4
2517,4
2537,4
2550,4
2580,4
2581,4
2597,4
2606,4
2608,4
2611,4
2618,4
2622,4
2624,4
2625,4
2644,4
2647,4
2650,4
2656,4
2658,4
2688,4
2692,4
2695,4
2701,4
2703,4
2706,4
2714,4
2715,4
2717,4
2718,4
2730,4
2740,4
2742,4
2746,4
2748,4
2760,4
2762,4
2767,4
2776,4
2781,4
2782,4
2788,4
2796,4
2807,4
2812,4
2816,4
2818,4
2819,4
2821,4
2822,4
2826,4
2828,4
2834,4
2837,4
2838,4
2841,4
2848,4
2852,4
2869,4
2880,4
2885,4
2887,4
2888,4
2893,4
2895,4
2896,4
2897,4
2902,4
2904,4
2914,4
2916,4
2918,4
2919,4
2925,4
2944,4
2946,4
2959,4
2967,4
2968,4
2975,4
2977,4
2987,4
3026,4
3065,4
3066,4
3080,4
3095,4
3099,4
3100,4
3103,4
3120,4
3123,4
3124,4
3129,4
3133,4
3171,4
3200,4
3209,4
3217,4
3221,4
3225,4
3239,4
3241,4
3246,4
3261,4
3267,4
3268,4
3293,4
3316,4
3326,4
3328,4
3361,4
3368,4
3388,4
3402,4
3408,4
3417,4
3419,4
3421,4
3430,4
3438,4
3451,4
3460,4
3469,4
3504,4
3514,4
3518,4
3535,4
3548,4
3549,4
3551,4
3552,4
3554,4
3555,4
3558,4
3560,4
3565,4
3613,4
3615,4
3626,4
3628,4
3633,4
3636,4
3643,4
3650,4
3665,4
3673,4
3685,4
3703,4
3731,4
3733,4
3740,4
3742,4
3749,4
3757,4
3766,4
3791,4
3792,4
3840,4
3853,4
3861,4
3869,4
3878,4
3883,4
3889,4
3903,4
3931,4
3932,4
3948,4
3957,4
3973,4
3986,4
4003,4
4006,4
4042,4
4069,4
4072,4
4094,4
4100,4
4107,4
4110,4
4114,4
4165,4
4199,4
4213,4
4217,4
4222,4
4228,4
4260,4
4306,4
4310,4
4355,4
4375,4
4377,4
4398,4
4404,4
4426,4
4428,4
4435,4
4436,4
4456,4
4459,4
4460,4
4476,4
4477,4
4481,4
4488,4
4497,4
4510,4
4514,4
4525,4
4533,4
4539,4
4541,4
4548,4
4563,4
4595,4
4601,4
4645,4
4654,4
4693,4
4703,4
4713,4
4731,4
4732,4
4733,4
4770,4
4775,4
4789,4
4796,4
4800,4
4801,4
4802,4
4805,4
4812,4
4817,4
4818,4
4819,4
4820,4
4821,4
4823,4
4827,4
4836,4
4840,4
4849,4
4855,4
4856,4
4868,4
4883,4
4903,4
4908,4
4909,4
4922,4
4928,4
4944,4
4946,4
4954,4
4957,4
4966,4
4968,4
4970,4
4972,4
5016,4
5029,4
5031,4
5037,4
5043,4
5045,4
5048,4
5061,4
5063,4
5066,4
5067,4
5073,4
5074,4
5106,4
5114,4
5117,4
5121,4
5122,4
5126,4
5149,4
5151,4
5154,4
5159,4
5164,4
5172,4
5173,4
5179,4
5180,4
5186,4
5189,4
5192,4
5193,4
5194,4
5195,4
5197,4
5200,4
5201,4
5242,4
5252,4
5253,4
5254,4
5263,4
5279,4
5302,4
5305,4
5313,4
5315,4
5317,4
5321,4
5323,4
5325,4
5332,4
5334,4
5335,4
5341,4
5359,4
5365,4
5367,4
5368,4
5371,4
5388,4
5395,4
5406,4
5410,4
5413,4
5419,4
5423,4
5433,4
5436,4
5449,4
5450,4
5465,4
5475,4
5477,4
5480,4
5481,4
5494,4
5502,4
5508,4
5511,4
5513,4
5518,4
5523,4
5552,4
5587,4
5592,4
5601,4
5608,4
5612,4
5613,4
5617,4
5618,4
5620,4
5623,4
5627,4
5634,4
5640,4
5644,4
5650,4
5653,4
5655,4
5673,4
5680,4
5690,4
5693,4
5695,4
5697,4
5699,4
5700,4
5705,4
5706,4
5710,4
5714,4
5723,4
5730,4
5732,4
5733,4
5734,4
5742,4
5747,4
5749,4
5750,4
5757,4
5765,4
5772,4
5773,4
5786,4
5787,4
5790,4
5810,4
5815,4
5821,4
5826,4
5828,4
5829,4
5833,4
5834,4
5836,4
5854,4
5860,4
5861,4
5868,4
5882,4
5883,4
5885,4
5899,4
5901,4
5908,4
5909,4
5913,4
5916,4
5926,4
5940,4
5941,4
5949,4
5951,4
5953,4
5954,4
5962,4
5976,4
5985,4
5994,4
5998,4
6002,4
6006,4
6008,4
6009,4
6013,4
6044,4
6046,4
6047,4
6052,4
6060,4
6061,4
6066,4
6070,4
6073,4
6077,4
6084,4
6088,4
6089,4
6098,4
6100,4
6109,4
6112,4
6115,4
6118,4
6121,4
6124,4
6139,4
6142,4
6145,4
6151,4
6168,4
6176,4
6183,4
6188,4
6189,4
6194,4
6202,4
6203,4
6235,4
6236,4
6239,4
6241,4
6245,4
6250,4
6252,4
6264,4
6265,4
6280,4
6286,4
6289,4
6292,4
6295,4
6309,4
6314,4
6324,4
6335,4
6336,4
6338,4
6344,4
6345,4
6348,4
6360,4
6362,4
