,group
51,9
79,9
93,9
138,9
141,9
167,9
217,9
219,9
242,9
248,9
254,9
268,9
275,9
293,9
322,9
376,9
386,9
403,9
436,9
451,9
458,9
461,9
475,9
495,9
529,9
534,9
556,9
575,9
656,9
699,9
703,9
760,9
847,9
876,9
881,9
910,9
922,9
945,9
968,9
989,9
1000,9
1029,9
1136,9
1142,9
1150,9
1169,9
1191,9
1200,9
1240,9
1257,9
1338,9
1354,9
1387,9
1473,9
1556,9
1585,9
1613,9
1617,9
1632,9
1643,9
1660,9
1673,9
1695,9
1699,9
1712,9
1717,9
1727,9
1740,9
1748,9
1758,9
1786,9
1843,9
1845,9
1855,9
1884,9
1886,9
1911,9
1920,9
1924,9
1941,9
1946,9
1949,9
1957,9
1973,9
1991,9
2037,9
2040,9
2066,9
2076,9
2100,9
2109,9
2185,9
2191,9
2192,9
2205,9
2206,9
2258,9
2292,9
2339,9
2360,9
2392,9
2402,9
2426,9
2428,9
2438,9
2439,9
2480,9
2497,9
2500,9
2501,9
2531,9
2562,9
2589,9
2603,9
2615,9
2627,9
2634,9
2654,9
2681,9
2687,9
2711,9
2713,9
2728,9
2735,9
2737,9
2749,9
2770,9
2801,9
2803,9
2833,9
2840,9
2860,9
2881,9
2935,9
2954,9
3008,9
3044,9
3062,9
3070,9
3071,9
3075,9
3085,9
3091,9
3122,9
3186,9
3192,9
3195,9
3226,9
3250,9
3260,9
3271,9
3276,9
3277,9
3317,9
3329,9
3330,9
3343,9
3347,9
3351,9
3356,9
3374,9
3378,9
3385,9
3410,9
3432,9
3435,9
3445,9
3452,9
3463,9
3477,9
3480,9
3484,9
3515,9
3526,9
3546,9
3572,9
3578,9
3608,9
3654,9
3663,9
3668,9
3699,9
3709,9
3743,9
3785,9
3786,9
3797,9
3906,9
3918,9
3963,9
3969,9
3977,9
4046,9
4079,9
4096,9
4102,9
4122,9
4129,9
4147,9
4158,9
4168,9
4195,9
4246,9
4261,9
4278,9
4319,9
4427,9
4438,9
4442,9
4464,9
4465,9
4470,9
4495,9
4536,9
4588,9
4607,9
4708,9
4722,9
4771,9
4777,9
4790,9
4831,9
4871,9
4879,9
4885,9
4963,9
4979,9
4997,9
4999,9
5056,9
5082,9
5083,9
5095,9
5137,9
5152,9
5166,9
5191,9
5276,9
5296,9
5400,9
5416,9
5422,9
5455,9
5471,9
5482,9
5488,9
5493,9
5547,9
5560,9
5619,9
5632,9
5674,9
5684,9
5702,9
5713,9
5721,9
5728,9
5748,9
5754,9
5762,9
5771,9
5776,9
5779,9
5789,9
5798,9
5802,9
5817,9
5824,9
5884,9
5889,9
5942,9
5943,9
5978,9
5999,9
6025,9
6033,9
6048,9
6049,9
6093,9
6099,9
6116,9
6149,9
6179,9
6216,9
6232,9
6247,9
6277,9
6315,9
6391,9
6442,9
6460,9
6461,9
6469,9
6489,9
6500,9
6507,9
6519,9
6522,9
6544,9
6581,9
6583,9
6591,9
6601,9
6628,9
6656,9
6687,9
6720,9
6751,9
6775,9
6819,9
6871,9
6874,9
6907,9
7072,9
7079,9
7112,9
7114,9
7257,9
7325,9
7428,9
7430,9
7447,9
7454,9
7458,9
7460,9
7482,9
7503,9
7512,9
7559,9
7575,9
7587,9
7620,9
7667,9
7717,9
7724,9
7766,9
7797,9
7826,9
7830,9
7839,9
7848,9
7859,9
7878,9
7959,9
7970,9
7985,9
7996,9
8073,9
8089,9
8090,9
8127,9
8137,9
8240,9
8270,9
8282,9
8309,9
8318,9
8376,9
8382,9
8389,9
8403,9
8408,9
8422,9
8442,9
8501,9
8523,9
