,group
1,3
7,3
10,3
11,3
32,3
40,3
65,3
72,3
78,3
80,3
89,3
95,3
99,3
101,3
102,3
105,3
106,3
109,3
115,3
121,3
129,3
130,3
131,3
134,3
136,3
137,3
144,3
151,3
152,3
153,3
154,3
165,3
169,3
184,3
185,3
188,3
196,3
205,3
209,3
211,3
215,3
218,3
223,3
237,3
243,3
249,3
250,3
255,3
260,3
261,3
267,3
270,3
271,3
279,3
280,3
283,3
286,3
289,3
292,3
294,3
310,3
320,3
335,3
338,3
344,3
360,3
365,3
366,3
371,3
372,3
374,3
377,3
380,3
381,3
397,3
399,3
400,3
407,3
414,3
417,3
429,3
432,3
439,3
441,3
447,3
470,3
477,3
478,3
480,3
483,3
484,3
486,3
487,3
488,3
489,3
490,3
491,3
505,3
515,3
531,3
535,3
537,3
538,3
543,3
544,3
546,3
550,3
551,3
560,3
564,3
565,3
568,3
572,3
576,3
579,3
580,3
591,3
598,3
603,3
604,3
613,3
626,3
633,3
634,3
637,3
641,3
642,3
645,3
661,3
675,3
679,3
681,3
692,3
697,3
706,3
709,3
711,3
720,3
728,3
737,3
741,3
744,3
747,3
748,3
758,3
761,3
766,3
773,3
781,3
796,3
807,3
815,3
818,3
820,3
821,3
824,3
834,3
851,3
856,3
857,3
860,3
861,3
863,3
885,3
889,3
891,3
892,3
895,3
896,3
897,3
899,3
904,3
906,3
912,3
913,3
914,3
915,3
928,3
934,3
942,3
944,3
946,3
948,3
953,3
966,3
967,3
971,3
979,3
992,3
1002,3
1008,3
1023,3
1024,3
1025,3
1026,3
1027,3
1033,3
1042,3
1046,3
1058,3
1060,3
1062,3
1067,3
1069,3
1072,3
1077,3
1082,3
1083,3
1099,3
1109,3
1111,3
1115,3
1118,3
1120,3
1122,3
1124,3
1125,3
1130,3
1133,3
1152,3
1155,3
1157,3
1161,3
1171,3
1185,3
1188,3
1197,3
1198,3
1207,3
1210,3
1212,3
1221,3
1226,3
1227,3
1228,3
1231,3
1236,3
1238,3
1246,3
1249,3
1252,3
1254,3
1256,3
1269,3
1270,3
1273,3
1279,3
1281,3
1284,3
1286,3
1287,3
1289,3
1293,3
1294,3
1296,3
1304,3
1310,3
1312,3
1319,3
1327,3
1328,3
1329,3
1330,3
1332,3
1333,3
1335,3
1336,3
1339,3
1344,3
1346,3
1349,3
1350,3
1351,3
1353,3
1355,3
1358,3
1360,3
1361,3
1366,3
1367,3
1372,3
1381,3
1384,3
1386,3
1388,3
1391,3
1394,3
1409,3
1413,3
1414,3
1415,3
1420,3
1425,3
1432,3
1433,3
1437,3
1439,3
1445,3
1462,3
1463,3
1469,3
1471,3
1484,3
1485,3
1487,3
1493,3
1494,3
1502,3
1503,3
1507,3
1511,3
1526,3
1528,3
1530,3
1533,3
1536,3
1540,3
1541,3
1542,3
1545,3
1546,3
1549,3
1550,3
1553,3
1557,3
1564,3
1566,3
1574,3
1590,3
1594,3
1595,3
1598,3
1608,3
1616,3
1623,3
1628,3
1634,3
1638,3
1640,3
1644,3
1650,3
1654,3
1663,3
1669,3
1670,3
1676,3
1685,3
1687,3
1697,3
1702,3
1706,3
1707,3
1708,3
1725,3
1729,3
1730,3
1733,3
1735,3
1746,3
1749,3
1752,3
1760,3
1766,3
1767,3
1771,3
1773,3
1775,3
1779,3
1783,3
1787,3
1789,3
1800,3
1802,3
1809,3
1821,3
1850,3
1853,3
1854,3
1856,3
1857,3
1867,3
1876,3
1877,3
1881,3
1909,3
1948,3
1952,3
1954,3
1960,3
1963,3
1977,3
1981,3
1984,3
1992,3
1998,3
1999,3
2001,3
2030,3
2053,3
2065,3
2068,3
2074,3
2088,3
2090,3
2092,3
2099,3
2103,3
2105,3
2106,3
2110,3
2119,3
2123,3
2129,3
2136,3
2150,3
2153,3
2159,3
2160,3
2163,3
2164,3
2170,3
2173,3
2182,3
2188,3
2194,3
2215,3
2219,3
2224,3
2226,3
2228,3
2238,3
2240,3
2251,3
2254,3
2259,3
2260,3
2268,3
2277,3
2281,3
2283,3
2287,3
2291,3
2295,3
2296,3
2297,3
2301,3
2309,3
2327,3
2337,3
2344,3
2352,3
2359,3
2368,3
2369,3
2371,3
2375,3
2376,3
2382,3
2387,3
2398,3
2400,3
2414,3
2419,3
2421,3
2422,3
2427,3
2430,3
2440,3
2446,3
2447,3
2448,3
2452,3
2453,3
2457,3
2469,3
2495,3
2496,3
2503,3
2504,3
2508,3
2519,3
2522,3
2524,3
2549,3
2553,3
2554,3
2573,3
2579,3
2599,3
2610,3
2613,3
2631,3
2673,3
2675,3
2693,3
2694,3
2698,3
2708,3
2726,3
2727,3
2743,3
2744,3
2745,3
2758,3
2773,3
2785,3
2799,3
2811,3
2820,3
2830,3
2835,3
2851,3
2861,3
2863,3
2866,3
2871,3
2874,3
2876,3
2877,3
2882,3
2884,3
2886,3
2892,3
2901,3
2907,3
2908,3
2910,3
2922,3
2937,3
2949,3
2962,3
2974,3
2976,3
2983,3
2984,3
3003,3
3015,3
3017,3
3034,3
3036,3
3046,3
3048,3
3055,3
3061,3
3078,3
3079,3
3092,3
3097,3
3098,3
3117,3
3118,3
3127,3
3132,3
3146,3
3152,3
3162,3
3182,3
3198,3
3205,3
3208,3
3216,3
3220,3
3224,3
3229,3
3233,3
3245,3
3251,3
3253,3
3255,3
3264,3
3273,3
3279,3
3280,3
3295,3
3318,3
3321,3
3327,3
3333,3
3334,3
3337,3
3339,3
3344,3
3358,3
3366,3
3370,3
3382,3
3391,3
3393,3
3394,3
3395,3
3404,3
3413,3
3418,3
3426,3
3433,3
3442,3
3450,3
3453,3
3455,3
3457,3
3458,3
3465,3
3472,3
3475,3
3479,3
3486,3
3488,3
3493,3
3498,3
3507,3
3509,3
3510,3
3524,3
3527,3
3530,3
3531,3
3534,3
3536,3
3542,3
3557,3
3562,3
3566,3
3568,3
3579,3
3586,3
3587,3
3590,3
3591,3
3599,3
3601,3
3602,3
3604,3
3606,3
3612,3
3614,3
3616,3
3617,3
3620,3
3630,3
3634,3
3638,3
3645,3
3647,3
3648,3
3652,3
3653,3
3675,3
3679,3
3681,3
3689,3
3693,3
3700,3
3702,3
3704,3
3708,3
3711,3
3716,3
3720,3
3722,3
3723,3
3725,3
3726,3
3729,3
3730,3
3732,3
3738,3
3741,3
3744,3
3745,3
3747,3
3751,3
3756,3
3767,3
3768,3
3775,3
3776,3
3779,3
3784,3
3787,3
3789,3
3793,3
3798,3
3801,3
3802,3
3807,3
3811,3
3813,3
3816,3
3824,3
3828,3
3844,3
3847,3
3848,3
3849,3
3851,3
3856,3
3857,3
3860,3
3863,3
3868,3
3876,3
3877,3
3898,3
3909,3
3912,3
3921,3
3930,3
3946,3
3949,3
3950,3
3952,3
3959,3
3964,3
3966,3
3967,3
3971,3
3980,3
3989,3
3991,3
3993,3
3995,3
3996,3
4007,3
4008,3
4016,3
4018,3
4020,3
4022,3
4030,3
4034,3
4041,3
4049,3
4054,3
4058,3
4061,3
4065,3
4066,3
4070,3
4074,3
4084,3
4085,3
4087,3
4095,3
4098,3
4101,3
4112,3
4113,3
4119,3
4130,3
4136,3
4145,3
4146,3
4150,3
4159,3
4161,3
4162,3
4174,3
4177,3
4185,3
4201,3
4207,3
4216,3
4230,3
4235,3
4239,3
4242,3
4249,3
4269,3
4280,3
4281,3
4283,3
4284,3
4287,3
4290,3
4295,3
4297,3
4300,3
4303,3
4314,3
4326,3
4330,3
4332,3
4334,3
4338,3
4343,3
4345,3
4351,3
4367,3
4370,3
4372,3
4379,3
4380,3
4383,3
4387,3
4400,3
4406,3
4417,3
4419,3
4433,3
4437,3
4440,3
4441,3
4449,3
4450,3
4452,3
4473,3
4480,3
4482,3
4490,3
4501,3
4503,3
4509,3
4526,3
4540,3
4543,3
4547,3
4553,3
4568,3
4569,3
4576,3
4581,3
4587,3
4591,3
4593,3
4598,3
4604,3
4606,3
4609,3
4623,3
4624,3
4627,3
4633,3
4635,3
4658,3
4659,3
4665,3
4667,3
4670,3
4674,3
4680,3
4683,3
4692,3
4694,3
4699,3
4715,3
4724,3
4745,3
4748,3
4753,3
4754,3
4763,3
4764,3
4768,3
4779,3
4788,3
4791,3
4797,3
4807,3
4811,3
4814,3
4815,3
4830,3
4833,3
4839,3
4843,3
4861,3
4866,3
4875,3
4881,3
4900,3
4901,3
4902,3
4904,3
4906,3
4907,3
4913,3
4914,3
4915,3
4929,3
4930,3
4931,3
4938,3
4943,3
4956,3
4960,3
4964,3
4969,3
4980,3
4981,3
4982,3
4983,3
4993,3
4995,3
5001,3
5004,3
5006,3
5010,3
